Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 1073741824, 1, 8, 512, 9.92515, 3.14378, N/A, 7.16471, 7.12217, 323110, 947.811, 32, 64, 16, 2, 8, 1, 86.4821, 256, 512, 64, 1, 8, 1, 59.8936, 
22, 1073741824, 1, 8, 512, 9.92515, 3.14378, N/A, 7.16471, 7.12217, 323110, 947.811, 32, 64, 16, 2, 8, 1, 86.4821, 256, 512, 64, 1, 8, 1, 59.8936, 
22, 32768, 1, 8, 512, 0.513048, 2.26317, N/A, 0.0130992, 0.0140019, 10.8483, 0.0841428, 2, 1, 1, 1, 8, 1, 25.7832, 2, 2, 0.5, 1, 1, 1, 64.3753, 
22, 32768, 1, 8, 512, 0.563904, 2.22586, N/A, 0.0297869, 0.0426759, 11.9482, 0.285087, 2, 2, 1, 1, 1, 2, 7.60993, 2, 2, 0.5, 1, 1, 1, 64.3753, 
22, 32768, 1, 8, 512, 0.259927, 0.279618, N/A, 0.0137436, 0.0215054, 11.5581, 0.0447937, 2, 2, 2, 4, 1, 1, 53.9448, 2, 2, 0.5, 1, 1, 1, 64.3753, 
22, 2048, 1, 2, 512, 0.141194, 0.114193, N/A, 0.0024381, 0.00334512, 0.877725, 0.0102243, 2, 2, 1, 2, 1, 1, 13.806, 2, 2, 0.5, 1, 1, 1, 49.7709, 
22, 2048, 1, 1, 512, 0.14923, 0.114193, N/A, 0.00236736, 0.00329089, 0.860424, 0.00985183, 2, 2, 1, 2, 1, 1, 13.806, 2, 2, 0.5, 1, 1, 1, 54.7796, 
22, 128, 1, 2, 512, 0.174354, 0.355417, 0.0010867, 0.00099167, 0.000936286, 0.32025, 0.0261548, 1, 2, 1, 1, 1, 1, 1.35304, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 256, 1, 4, 512, 0.174354, 0.355417, 0.00124535, 0.00099167, 0.000936286, 0.636786, 0.0271521, 1, 4, 1, 1, 1, 1, 2.60669, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.176944, 0.358372, 0.00145748, 0.00113359, 0.00120665, 0.805034, 0.0276664, 1, 4, 1, 1, 1, 1, 3.83735, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 128, 1, 2, 512, 0.174354, 0.355417, 0.0010867, 0.00099167, 0.000936286, 0.32025, 0.0261548, 1, 2, 1, 1, 1, 1, 1.35304, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 256, 1, 4, 512, 0.174354, 0.355417, 0.00124535, 0.00099167, 0.000936286, 0.636786, 0.0271521, 1, 4, 1, 1, 1, 1, 2.60669, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.176944, 0.358372, 0.00145748, 0.00113359, 0.00120665, 0.805034, 0.0276664, 1, 4, 1, 1, 1, 1, 3.83735, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 8, 512, 0.176944, 0.358372, 0.00145748, 0.00113359, 0.00120665, 0.805034, 0.0276664, 1, 4, 1, 1, 1, 1, 3.83735, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 256, 1, 4, 512, 0.174354, 0.355417, 0.00124535, 0.00099167, 0.000936286, 0.636786, 0.0271521, 1, 4, 1, 1, 1, 1, 2.60669, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 128, 1, 2, 512, 0.174354, 0.355417, 0.0010867, 0.00099167, 0.000936286, 0.32025, 0.0261548, 1, 2, 1, 1, 1, 1, 1.35304, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 512, 1, 1, 8, 0.0942065, 0.0810387, N/A, 0.000916817, 0.000783297, 1.21773, 0.00423152, 1, 1, 16, 16, 1, 1, 53.3081, 2, 2, 4, 1, 8, 1, 68.7238, 
22, 512, 1, 1, 8, 0.10354, 0.0810387, N/A, 0.000916817, 0.000783297, 1.21773, 0.00423152, 1, 1, 16, 16, 1, 1, 53.3081, 2, 2, 4, 1, 8, 1, 68.7238, 
22, 256, 1, 1, 8, 0.0894412, 0.0662777, N/A, 0.000674924, 0.000535881, 0.636704, 0.00193544, 1, 1, 8, 8, 1, 1, 52.3204, 2, 2, 4, 1, 8, 1, 59.6449, 
22, 1024, 1, 1, 8, 0.111487, 0.122091, N/A, 0.00168479, 0.00101073, 2.24356, 0.00819776, 1, 1, 32, 32, 1, 1, 51.6421, 2, 2, 8, 1, 16, 1, 70.2559, 
22, 128, 1, 1, 8, 0.0841547, 0.0604155, N/A, 0.000398947, 0.000420375, 0.359834, 0.00129067, 1, 1, 8, 8, 1, 1, 39.4519, 2, 2, 2, 1, 4, 1, 56.7433, 
22, 512, 1, 1, 8, 0.0942065, 0.0810387, N/A, 0.000916817, 0.000783297, 1.21773, 0.00423152, 1, 1, 16, 16, 1, 1, 53.3081, 2, 2, 4, 1, 8, 1, 68.7238, 
22, 512, 1, 1, 8, 0.160102, 0.0756694, N/A, 0.000994992, 0.000839442, 1.25482, 0.00430901, 2, 2, 16, 32, 1, 1, 44.1632, 2, 2, 4, 1, 8, 1, 68.7238, 
22, 4096, 1, 64, 8, 0.201213, 0.380024, 0.00438497, 0.00312688, 0.00499815, 3.19065, 0.034681, 1, 4, 1, 1, 1, 1, 17.3468, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
